company,type,model,oui_regex,rtsp_url,stream_name_template,video_encoding,port,min_stream_number,max_stream_number,low_res_stream_number,high_res_stream_number,username,password,is_digest_auth_supported,user_manual_url
Panasonic,camera,BL-C230,(00:80:F0|08:00:23),rtsp://{{username}}:{{password}}@{{ip_address}}/MediaInput/h264,Channel {{stream_number}},H.264,80,,,,,Administrator,,,http://security.panasonic.com/support/technical/qr_guide_c230/
Sharx Security,camera,SCNC3905,(00:0D:F0|00:E0:4C|78:12:B8),rtsp://{{username}}:{{password}}@{{ip_address}}/live/{{stream_number}}/h264.sdp,Stream {{stream_number}},H.264,80,0,2,2,0,admin,admin,true,
Sharx Security,camera,SCNC3805,(00:0D:F0|00:E0:4C|78:12:B8),rtsp://{{username}}:{{password}}@{{ip_address}}/live/{{stream_number}}/h264.sdp,Stream {{stream_number}},H.264,80,0,2,2,0,admin,admin,true,
Sharx Security,camera,SCNC3804,(00:E0:4B),rtsp://{{username}}:{{password}}@{{ip_address}}/live/{{stream_number}}/h264.sdp,Stream {{stream_number}},H.264,80,0,2,2,0,admin,admin,true,
Sharx Security,camera,SCNC3605,(00:E0:4C),rtsp://{{username}}:{{password}}@{{ip_address}}/live_mpeg4.sdp,Stream {{stream_number}},MPEG4,80,0,2,2,0,admin,admin,true,
Foscam,camera,C1,(A0:07:A0|00:12:7B|00:0D:C5),rtsp://{{username}}:{{password}}@{{ip_address}}/videoMain,Channel {{stream_number}},H.264,88,,,,,admin,,,http://foscam.us/media/mconnect_uploadfiles/c/1/c1%20user%20manual.pdf
GenIV,nvr,G4-HBRPRO8-1TB,(90:02:A9),rtsp://{{ip_address}}/cam/realmonitor?channel={{stream_number}}&subtype=0&authbasic={{#base64}}{{username}}:{{password}}{{/base64}},CAM{{stream_number}},H.264,554,0,7,,,admin,admin,,http://www.g4direct.com/Help-Support/User-Manuals-and-Quick-Start-Guides
D-Link,camera,DCS-2332,(28:10:7B),rtsp://{{ip_address}}/live{{stream_number}}.sdp,Channel {{stream_number}},H.264,554,1,3,3,1,admin,,,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202332L/Manual/DCS_2332L_A1_Manual_v100_WW.pdf
FLIR,nvr,DNR200,(90:02:A9),rtsp://{{ip_address}}/cam/realmonitor?channel={{stream_number}}&subtype=0&authbasic={{#base64}}{{username}}:{{password}}{{/base64}},CAM{{stream_number}},H.264,554,0,15,,,admin,admin,,http://www.flir.com/uploadedFiles/Security/Products/Security-NVR/DNR200-Series/FLIR-DNR200-Series-Manual-EN.pdf
Axis,camera,M3024-LVE,(AC:CC:8E),rtsp://{{ip_address}}/axis-media/media.amp,Channel {{stream_number}},H.264,80,,,,,root,,,http://www.axis.com/us/en/products/axis-m3024-lve/support-and-documentation
Axis,camera,P1224–E,(00:40:8C),rtsp://{{ip_address}}/axis-media/media.amp,Stream {{stream_number}},H.264,554,,,,,root,,,http://www.axis.com/files/manuals/um_p1224e_57828_en_1405.pdf
Hikvision,camera,DS-2CD2032-I,(C4:2F:90|C0:56:E3|BC:AD:28|44:19:B6|28:57:BE),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/PSIA/streaming/channels/10{{stream_number}},Stream {{stream_number}},H.264,554,1,2,2,1,admin,,,http://www.hikvision.com/UploadFile/image/2013061411054615328.pdf
Digital Watchdog,nvr,VMAX A1,(00:1C:84|3C:04:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp/unicast/live/profile-{{stream_number}},Channel {{stream_number}},H.264,554,1,4,,,admin,,,http://digital-watchdog.com/forcedown?file_path=_gendownloads/fe8bcd0f-58df-4414-ae3c-bc76fda207c1/&file_name=DW_MAN_VMAX%20A1_Rev0416.pdf
Digital Watchdog,nvr,VMAX 960H Core,(00:1C:84|3C:04:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp/unicast/live/profile-{{stream_number}},Channel {{stream_number}},H.264,554,1,4,,,admin,,,http://www.advancealarms.com/user-manuals/digital-watchdog-vmax-960h-core.pdf
Digital Watchdog,nvr,VMAX IP Plus,(00:1C:84|3C:04:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp/unicast/live/profile-{{stream_number}},Channel {{stream_number}},H.264,554,1,16,,,admin,,,http://digital-watchdog.com/forcedown?file_path=_gendownloads/1a4b1b60-fee9-4212-9229-5c3e27685431/&file_name=DW_MAN_VMAXIPPlus_Rev0416.pdf
